[Performance Sweep]
Speed (m/s),Flight Time (min),Range (km),Power Fwd (W),Power Hov (W),Thrust Fwd (N),Thrust Hov (N),Disk Loading (N/m²),Hover Wind Resistance (m/s),Prop Solidity (σ)
5.8375,22.416396041811986,7.851342713644648,1429.211035399862,1517.5565920827764,161.8840222111989,164.56203499811303,82.50120433822056,48.64055870336398,0.1400563499208679
5.925,22.539935818024155,8.012947183307586,1420.872357649918,1508.8205819953516,161.88518855703265,164.64349426259943,82.50120433822056,48.64055870336398,0.1400563499208679
6.0125,22.66449549933051,8.176216751383482,1412.5568572229415,1500.0730341757305,161.88640772821194,164.72616546088264,82.50120433822056,48.64055870336398,0.1400563499208679
6.1,22.790007165112428,8.341142622431148,1404.2697302686722,1491.3181433989982,161.88768129548663,164.81004859296266,82.50120433822056,48.64055870336398,0.1400563499208679
6.1875,22.916400741349015,8.507713775225822,1396.0160939556097,1482.5600388176895,161.88901085254736,164.8951436588395,82.50120433822056,48.64055870336398,0.1400563499208679
6.275,23.043604067502432,8.675916931414665,1387.8009793599856,1473.8027770450483,161.89039801601922,164.98145065851318,82.50120433822056,48.64055870336398,0.1400563499208679
6.3625,23.171542977567057,8.845736531686223,1379.629324235542,1465.0503365107338,161.8918444254551,165.06896959198366,82.50120433822056,48.64055870336398,0.1400563499208679
6.45,23.300141378297056,9.017154713400961,1371.5059667793391,1456.3066115475137,161.89335174332888,165.15770045925098,82.50120433822056,48.64055870336398,0.1400563499208679
6.5375,23.429321348027642,9.190151298763842,1363.4356388993538,1447.5754074841066,161.89492165502813,165.2476432603151,82.50120433822056,48.64055870336398,0.1400563499208679
6.625,23.559003226858156,9.364703782676116,1355.4229608509456,1438.8604350193498,161.89655586884666,165.33879799517607,82.50120433822056,48.64055870336398,0.1400563499208679
6.7125,23.689105718348372,9.540787328064807,1347.4724359436693,1430.1653060069782,161.89825611597678,165.43116466383384,82.50120433822056,48.64055870336398,0.1400563499208679
6.8,23.819545996650294,9.71837476663332,1339.588445704017,1421.4935290327649,161.90002415050105,165.52474326628845,82.50120433822056,48.64055870336398,0.1400563499208679
6.8875,23.95023980685313,9.897436600182056,1331.7752462088242,1412.8485060650044,161.9018617493839,165.61953380253988,82.50120433822056,48.64055870336398,0.1400563499208679
6.975,24.081101589090686,10.077941015034453,1324.0369637229246,1404.233528449009,161.90377071246286,165.7155362725881,82.50120433822056,48.64055870336398,0.1400563499208679
7.0625,24.212044586317422,10.259853893452007,1316.3775920405242,1395.6517743530515,161.90575286243939,165.81275067643318,82.50120433822056,48.64055870336398,0.1400563499208679
7.15,24.342980965954013,10.443138834394272,1308.8009896765545,1387.1063061549105,161.90781004486934,165.91117701407507,82.50120433822056,48.64055870336398,0.1400563499208679
7.2375,24.473821931360206,10.627757173693169,1301.3108782954093,1378.6000682089975,161.90994412815326,166.0108152855138,82.50120433822056,48.64055870336398,0.1400563499208679
7.325,24.604477854692128,10.813668017137191,1293.9108405120348,1370.1358857092405,161.912157003526,166.11166549074932,82.50120433822056,48.64055870336398,0.1400563499208679
7.4125,24.73485839192493,11.000828269808611,1286.604319298427,1361.7164626876595,161.9144505850463,166.21372762978166,82.50120433822056,48.64055870336398,0.1400563499208679
7.5,24.864872607602525,11.189192673421136,1279.3946173562238,1353.3443816470603,161.9168268095856,166.31700170261084,82.50120433822056,48.64055870336398,0.1400563499208679
7.5875,24.994429100600488,11.378713848048374,1272.2848969282168,1345.0221030019643,161.91928763681676,166.42148770923683,82.50120433822056,48.64055870336398,0.1400563499208679
7.675,25.12343611791514,11.56934233229992,1265.2781807112756,1336.7519648634748,161.92183504920234,166.52718564965966,82.50120433822056,48.64055870336398,0.1400563499208679
7.7625,25.251801690704326,11.761026637445541,1258.37735195164,1328.5361839123036,161.92447105198224,166.6340955238793,82.50120433822056,48.64055870336398,0.1400563499208679
7.85,25.379433747725543,11.95371329517873,1251.5851561425227,1320.37685523241,161.9271976731611,166.74221733189574,82.50120433822056,48.64055870336398,0.1400563499208679
7.9375,25.506240238155485,12.147346913421549,1244.9042025214585,1312.2759538074883,161.9300169634953,166.85155107370903,82.50120433822056,48.64055870336398,0.1400563499208679
8.025,25.632129253566706,12.34187023559237,1238.3369658958202,1304.23533568318,161.93293099647937,166.96209674931913,82.50120433822056,48.64055870336398,0.1400563499208679
8.1125,25.757009136013945,12.537224196954789,1231.88578942737,1296.256739392304,161.93594186833204,167.07385435872607,82.50120433822056,48.64055870336398,0.1400563499208679
8.2,25.880788607907355,12.73334799509042,1225.5528864762318,1288.3417883582872,161.93905169798174,167.1868239019298,82.50120433822056,48.64055870336398,0.1400563499208679
8.2875,26.003376877048005,12.93017915211212,1219.340343898595,1280.4919921649293,161.94226262705175,167.3010053789304,82.50120433822056,48.64055870336398,0.1400563499208679
8.375,26.124683750455926,13.127653584604102,1213.2501250020732,1272.7087493764914,161.94557681984477,167.4163987897278,82.50120433822056,48.64055870336398,0.1400563499208679
8.4625,26.244619743703005,13.325705674865201,1207.2840728180154,1264.993349912257,161.94899646332698,167.533004134322,82.50120433822056,48.64055870336398,0.1400563499208679
8.55,26.363096190551065,13.524268345752699,1201.443913413861,1257.3469777213031,161.95252376711164,167.65082141271304,82.50120433822056,48.64055870336398,0.1400563499208679
8.6375,26.48002533642095,13.723273130600157,1195.7312600229463,1249.7707134555435,161.95616096344222,167.7698506249009,82.50120433822056,48.64055870336398,0.1400563499208679
8.725,26.595320455447958,13.922650258427005,1190.1476160036748,1242.265538029036,161.95991030717485,167.89009177088556,82.50120433822056,48.64055870336398,0.1400563499208679
8.8125,26.708895939261435,14.122328727884483,1184.6943791569558,1234.8323348260085,161.96377407576037,168.01154485066706,82.50120433822056,48.64055870336398,0.1400563499208679
8.9,26.820667395298244,14.322236389089262,1179.3728455079117,1227.4718934221378,161.96775456922583,168.1342098642454,82.50120433822056,48.64055870336398,0.1400563499208679
8.9875,26.930551739815705,14.52230002569562,1174.184213260678,1220.1849126882812,161.97185411015525,168.25808681162056,82.50120433822056,48.64055870336398,0.1400563499208679
9.075,27.038467287966377,14.72244543829769,1169.129586786458,1212.9720040838654,161.9760750436701,168.38317569279252,82.50120433822056,48.64055870336398,0.1400563499208679
9.1625,27.144333843985756,14.922597530731169,1164.2099804827371,1205.8336948422786,161.98041973740894,168.5094765077613,82.50120433822056,48.64055870336398,0.1400563499208679
